"ID","Site","Subsite","Date","Transect_Type","Transect_Number","max_dep","min_dep","avg_dep","ver_rel_m","DRR"
"AR-370_PIPES_2015-12-08_R_T1","370","PIPES","2015-12-08","Radiating",1,15.5574,14.9763,15.2796406504065,0.581099999999999,0.133292226623543
"AR-370_PIPES_2015-12-08_R_T2","370","PIPES","2015-12-08","Radiating",2,15.5635,14.9702,15.3283115942029,0.593299999999999,0.123452835092316
"AR-370_PIPES_2015-12-08_R_T3","370","PIPES","2015-12-08","Radiating",3,15.4235,14.9029,15.1922426470588,0.5206,0.11172956280588
"AR-370_PIPES_2015-12-08_S","370","PIPES","2015-12-08","Structural",0,15.2798,14.4598,14.9149032432432,0.82,0.183725745486694
"AR-370_PIPES_2016-03-11_R_T1","370","PIPES","2016-03-11","Radiating",1,14.4635,14.1064,14.2949724137931,0.357099999999999,0.0581362351815067
"AR-370_PIPES_2016-03-11_R_T2","370","PIPES","2016-03-11","Radiating",2,14.4908,14.0912,14.3346945945946,0.3996,0.0736722333753767
"AR-370_PIPES_2016-03-11_R_T3","370","PIPES","2016-03-11","Radiating",3,14.4333,14.0882,14.2364756756757,0.345099999999999,0.0625242646952018
"AR-370_PIPES_2016-03-11_S","370","PIPES","2016-03-11","Structural",0,14.4821,13.7923,14.1338344827586,0.689800000000002,0.171199158056775
"AR-370_PODS_2015-09-15_R_T3","370","PODS","2015-09-15","Radiating",3,15.1857,14.8034,14.9988177664975,0.382300000000001,0.084138154968579
"AR-370_PODS_2015-09-15_R_T2","370","PODS","2015-09-15","Radiating",2,15.4588,14.9186,15.2263966346154,0.5402,0.0945313307887748
"AR-370_PODS_2015-09-15_R_T1","370","PODS","2015-09-15","Radiating",1,15.6437,15.213,15.445630075188,0.430700000000002,0.0812328291150325
"AR-370_PODS_2015-09-15_S","370","PODS","2015-09-15","Structural",0,15.51641779,14.28124755,15.0345785874912,1.23517024,0.316173841157533
"AR-370_PODS_2015-12-08_R_T1","370","PODS","2015-12-08","Radiating",1,14.5568,14.1911,14.3701830645161,0.3657,0.0832068963309921
"AR-370_PODS_2015-12-08_R_T2","370","PODS","2015-12-08","Radiating",2,14.5417,14.1933,14.368228030303,0.3484,0.0782163473614305
"AR-370_PODS_2015-12-08_R_T3","370","PODS","2015-12-08","Radiating",3,14.6204,14.2297,14.4320076335878,0.390700000000001,0.0870398835356268
"AR-370_PODS_2015-12-08_S","370","PODS","2015-12-08","Structural",0,14.48259555,13.35582252,14.1737519519118,1.12677303,0.291898683490704
"AR-372_NR1_2015-09-02_R_T1","372","NR1","2015-09-02","Radiating",1,16.5032,16.1151,16.3071565625,0.388099999999998,0.0801712697665662
"AR-372_NR1_2015-09-02_R_T2","372","NR1","2015-09-02","Radiating",2,16.4213,16.021,16.2460626086957,0.400299999999998,0.0700999673981486
"AR-372_NR1_2015-09-02_R_T3","372","NR1","2015-09-02","Radiating",3,16.6032,16.1394,16.3450556195965,0.463800000000003,0.0847681560435431
"AR-372_NR1_2015-09-02_S","372","NR1","2015-09-02","Structural",0,16.4839,16.0538,16.2827937172775,0.430099999999999,0.084500646290295
"AR-372_NR1_2015-12-03_R_T1","372","NR1","2015-12-03","Radiating",1,18.6667,17.9635,18.4447439759036,0.703199999999999,0.152692991424482
"AR-372_NR1_2015-12-03_R_T2","372","NR1","2015-12-03","Radiating",2,18.8039,18.4523,18.6390306930693,0.351599999999998,0.0540121706251162
"AR-372_NR1_2015-12-03_R_T3","372","NR1","2015-12-03","Radiating",3,18.709,18.2941,18.4740587982833,0.414899999999999,0.0842735750414909
"AR-372_NR1_2015-12-03_S","372","NR1","2015-12-03","Structural",0,18.4699,16.099,17.4454775280899,2.3709,0.895713056574565
"AR-372_NR1_2016-03-17_S","372","NR1","2016-03-17","Structural",0,17.92708195,15.12528962,16.6168395588235,2.80179233,0.735433850452614
"AR-372_NR2_2015-09-02_R_T1","372","NR2","2015-09-02","Radiating",1,15.7268,15.3962,15.575422826087,0.3306,0.0622581819904538
"AR-372_NR2_2015-12-09_R_T1","372","NR2","2015-12-09","Radiating",1,17.7181,17.2919,17.54172,0.426200000000001,0.102698015654417
"AR-372_NR2_2015-12-09_R_T2","372","NR2","2015-12-09","Radiating",2,17.77248153,17.33419752,17.5389351186441,0.43828401,0.101744165266949
"AR-372_NR2_2015-12-09_R_T3","372","NR2","2015-12-09","Radiating",3,17.57303883,16.78390985,17.2382471486364,0.789128980000001,0.168233667810223
"AR-372_NR2_2015-12-09_S","372","NR2","2015-12-09","Structural",0,17.61794916,15.28839578,15.971803084812,2.32955338,0.567442056698128
"AR-372_PODS_2015-09-02_R_T1","372","PODS","2015-09-02","Radiating",1,16.8427,16.3789,16.5778161490683,0.463799999999999,0.0880947422527455
"AR-372_PODS_2015-09-02_R_T2","372","PODS","2015-09-02","Radiating",2,16.6275,15.8633,16.3995625,0.764200000000001,0.0905184228362074
"AR-372_PODS_2015-09-02_R_T3","372","PODS","2015-09-02","Radiating",3,16.679,16.297,16.4648261904762,0.381999999999998,0.0816858046859859
"AR-372_PODS_2015-09-02_S","372","PODS","2015-09-02","Structural",0,16.7235,15.3026,16.1111700704225,1.4209,0.368821201836848
"AR-372_PODS_2015-12-09_R_T1","372","PODS","2015-12-09","Radiating",1,16.22055736,15.5153971,15.8600627366142,0.705160260000001,0.154619072465214
"AR-372_PODS_2015-12-09_R_T2","372","PODS","2015-12-09","Radiating",2,15.8575,15.5063,15.704406557377,0.3512,0.0803592128952326
"AR-372_PODS_2015-12-09_R_T3","372","PODS","2015-12-09","Radiating",3,15.9422,15.4549,15.740434375,0.487299999999999,0.0937397531932965
"AR-372_PODS_2015-12-09_S","372","PODS","2015-12-09","Structural",0,16.04152845,14.6020162,15.4869445962996,1.43951225,0.421252096216159
